(2020, 10, 25, 12, 14, 5, 6, 299) except line 88, counter = 65
(2020, 10, 25, 12, 14, 5, 6, 299) except line 88, counter = 66
(2020, 10, 25, 12, 14, 5, 6, 299) except line 88, counter = 67
(2020, 10, 25, 12, 15, 5, 6, 299) except line 88, counter = 68
(2020, 10, 25, 12, 15, 6, 6, 299) except line 88, counter = 69
(2020, 10, 25, 12, 15, 6, 6, 299) except line 88, counter = 70
(2020, 10, 25, 12, 16, 6, 6, 299) except line 88, counter = 71
(2020, 10, 25, 12, 16, 6, 6, 299) except line 88, counter = 72
(2020, 10, 25, 12, 16, 6, 6, 299) except line 88, counter = 73
(2020, 10, 25, 12, 17, 6, 6, 299) except line 88, counter = 74
(2020, 10, 25, 12, 17, 6, 6, 299) except line 88, counter = 75
(2020, 10, 25, 12, 17, 6, 6, 299) except line 88, counter = 76
(2020, 10, 25, 12, 18, 6, 6, 299) except line 88, counter = 77
(2020, 10, 25, 12, 18, 7, 6, 299) except line 88, counter = 78
(2020, 10, 25, 12, 18, 7, 6, 299) except line 88, counter = 79
(2020, 10, 25, 12, 19, 7, 6, 299) except line 88, counter = 80
(2020, 10, 25, 12, 19, 7, 6, 299) except line 88, counter = 81
(2020, 10, 25, 12, 19, 7, 6, 299) except line 88, counter = 82
(2020, 10, 25, 12, 20, 7, 6, 299) except line 88, counter = 83
(2020, 10, 25, 12, 20, 7, 6, 299) except line 88, counter = 84
(2020, 10, 25, 12, 20, 8, 6, 299) except line 88, counter = 85
(2020, 10, 25, 12, 21, 8, 6, 299) except line 88, counter = 86
(2020, 10, 25, 12, 21, 8, 6, 299) except line 88, counter = 87
(2020, 10, 25, 12, 21, 8, 6, 299) except line 88, counter = 88
(2020, 10, 25, 12, 22, 8, 6, 299) except line 88, counter = 89
(2020, 10, 25, 12, 22, 8, 6, 299) except line 88, counter = 90
(2020, 10, 25, 12, 22, 8, 6, 299) except line 88, counter = 91
(2020, 10, 25, 12, 23, 9, 6, 299) except line 88, counter = 92
(2020, 10, 25, 12, 23, 9, 6, 299) except line 88, counter = 93
(2020, 10, 25, 12, 23, 9, 6, 299) except line 88, counter = 94
(2020, 10, 25, 12, 24, 9, 6, 299) except line 88, counter = 95
(2020, 10, 25, 12, 24, 9, 6, 299) except line 88, counter = 96
(2020, 10, 25, 12, 24, 9, 6, 299) except line 88, counter = 97
(2020, 10, 25, 12, 25, 9, 6, 299) except line 88, counter = 98
(2020, 10, 25, 12, 25, 9, 6, 299) except line 88, counter = 99
(2020, 10, 25, 12, 25, 10, 6, 299) except line 88, counter = 100
(2020, 10, 25, 12, 26, 10, 6, 299) except line 88, counter = 101
(2020, 10, 25, 12, 26, 10, 6, 299) except line 88, counter = 102
(2020, 10, 25, 12, 26, 10, 6, 299) except line 88, counter = 103
(2020, 10, 25, 12, 27, 10, 6, 299) except line 88, counter = 104
(2020, 10, 25, 12, 27, 10, 6, 299) except line 88, counter = 105
(2020, 10, 25, 12, 27, 10, 6, 299) except line 88, counter = 106
(2020, 10, 25, 12, 28, 11, 6, 299) except line 88, counter = 107
(2020, 10, 25, 12, 28, 11, 6, 299) except line 88, counter = 108
(2020, 10, 25, 12, 28, 11, 6, 299) except line 88, counter = 109
(2020, 10, 25, 12, 29, 11, 6, 299) except line 88, counter = 110
(2020, 10, 25, 12, 29, 11, 6, 299) except line 88, counter = 111
(2020, 10, 25, 12, 29, 11, 6, 299) except line 88, counter = 112
(2020, 10, 25, 12, 30, 11, 6, 299) except line 88, counter = 113
(2020, 10, 25, 12, 30, 12, 6, 299) except line 88, counter = 114
(2020, 10, 25, 12, 30, 12, 6, 299) except line 88, counter = 115
(2020, 10, 25, 12, 31, 12, 6, 299) except line 88, counter = 116
(2020, 10, 25, 12, 31, 12, 6, 299) except line 88, counter = 117
(2020, 10, 25, 12, 31, 12, 6, 299) except line 88, counter = 118
(2020, 10, 25, 12, 32, 12, 6, 299) except line 88, counter = 119
(2020, 10, 25, 12, 32, 12, 6, 299) except line 88, counter = 120
(2020, 10, 25, 12, 32, 13, 6, 299) except line 88, counter = 121
(2020, 10, 25, 12, 33, 13, 6, 299) except line 88, counter = 122
